Week,Team1,Team2
1,Grizz,Suns
1,Spurs,Kings
1,Nuggets,Lakers
2,Kings,Lakers
2,Nuggets,Suns
2,Spurs,Grizz
3,Lakers,Kings
3,Suns,Nuggets
3,Grizz,Spurs
4,Kings,Lakers
4,Spurs,Grizz
4,Suns,Nuggets
5,Lakers,Suns
5,Nuggets,Spurs
5,Kings,Grizz
6,Lakers,Suns
6,Spurs,Nuggets
6,Grizz,Kings
7,Lakers,Spurs
7,Grizz,Nuggets
7,Suns,Kings
8,Grizz,Nuggets
8,Spurs,Lakers
8,Kings,Suns
9,Lakers,Grizz
9,Nuggets,Kings
9,Suns,Spurs
10,Lakers,Grizz
10,Kings,Nuggets
10,Spurs,Suns
11,Lakers,Nuggets
11,Kings,Spurs
11,Suns,Grizz
